Id,LessonId,Gender,Number,Word,Meaning
373,2,,,ٱسۡم,Name
374,2,,Singular,صَاحِب ,Companion Inmate
375,2,,Plural,أَصۡحَٰب,Companion (Inmates)
376,2,,,فِرۡعَوۡن,Pharaoh
377,2,,Plural,نَصَٰرَىٰ,Christians
378,2,,Plural,نِسَآء,Women/ wives
379,2,,Plural,رِجَال,Men
380,2,,Plural,عِظَٰم,Bones
381,2,,Plural,مَوۡتَىٰ,The dead
382,2,,Plural,أَيۡدِي,Hands
383,2,,Plural,أَعۡيُن,Eyes
384,2,,Plural,أَزۡوَٰج,Spouses
385,2,,Plural,أَهۡوَآء,Inclinations/ Desires
386,2,,Plural,أَلۡبَٰب,Minds/ Understanding
387,2,,Plural,أَبۡوَٰب,Doors/ Gates
388,2,,Plural,أَيۡمَٰن,Oaths
